"Sl","Product Image","Name (English)","Name (Bangla)","Category","Product Price","Quantity","Discount","Featured","Status","Action"
"46","","Big Body Combo (Body Cream+ Body Pack+ Body Massage Cream+ 2 Pcs Body VC)","Big Body Combo (Body Cream+ Body Pack+ Body Massage Cream)","Combo","3650","98","৳450 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"47","","Pores Combo (Vitamin C & E Gel+ Face Massage Cream+ Pores Serum)","Pores Combo (Vitamin E Gel+ Face Massage Cream+ Pores Serum)","Combo","3150","95","৳350 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"48","","Acne Combo (PILI ANI Face Pack+ Face Massage Cream+ Turmeric Soap)","Acne Combo (Face Pack+ Face Massage Cream+ Turmeric Soap)","Combo","2850","50","৳360 off","","Disable","Edit info                                                                                                                                                                                                                         Delete"
"49","","Acne Combo (PILI ANI Face Pack+ Face Massage Cream+ Black Soap+ Acne Stick)","Acne Combo (Face Pack+ Face Massage Cream+ Black Soap)","Combo","2880","96","৳380 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"50","","Spot Combo (Spot Cream, Face Massage Cream & Vitamin E Gel)","Spot Combo (Spot Cream, Face Massage Cream & Vitamin E Gel)","Combo","2800","298","৳400 off","","Disable","Edit info                                                                                                                                                                                                                         Delete"
"51","","Face Pack Combo (Face Pack+ Face Massage Cream)+ Gift Face Puff & Stick","Face Pack Combo (Face Pack+ Face Massage Cream)","Combo","2250","92","৳250 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"52","","Aichun Beauty Anti-Stretch Mark Cream","Aichun Beauty Anti-Stretch Mark Cream","Anti-Stretch Marks Cream","700","44","৳150 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"53","","Dr. Meinaier Nano White Gluta Face & Body Oil","Dr. Meinaier Nano White Gluta Face & Body Oil","Face & Body Oil","1200","280","৳150 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"54","","Aloe Vera Wax Strips","Aloe Vera Wax Strips","Waxing","700","14","৳50 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"55","","Kashmiri Herbal Hair Oil","Kashmiri Herbal Hair Oil","Oil","1400","368","৳150 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"56","","Kiss Beauty Make Up Fix Spray","Kiss Beauty Make Up Fix Spray","Spray","850","117","৳260 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"57","","OKIMI Sunscreen SPF 50+","OKIMI Sunscreen SPF 50+","Sunscreen","1150","996","৳30 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"58","","Dissar Beauty Skincare SPF 50+ Sunscreen","Dissar Beauty Skincare SPF 50+ Sunscreen","Sunscreen","850","166","৳200 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"59","","Dissar Beauty Skincare SPF 90 Sunscreen","Dissar Beauty Skincare SPF 90 Sunscreen","Sunscreen","850","49","৳200 off","","Disable","Edit info                                                                                                                                                                                                                         Delete"
"60","","IMAGIC Eyeliner","IMAGIC Mascara","Kajal","400","46","৳50 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"61","","TANAKO Lip Balm","TANAKO Lip Balm","Lips","250","12","৳100 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"62","","Kiss Beauty Lip Oil","Kiss Beauty Lip Oil","Lips","350","2104","৳70 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"63","","Karite Eye Shadow Palette","Karite Eye Shadow Palette","Eye Shadow","850","72","৳200 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"64","","Kiss Beauty Kajal","Kiss Beauty Kajal","Kajal","350","1804","৳70 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"65","","Kiss beauty Collagen Mascara","Kiss beauty Collagen Mascara","Mascara","750","441","৳300 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"66","","Kingyali Peach Gold Brightening Serum","Kingyali Peach Gold Brightening Serum","Serum","1375","1688","৳25 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"67","","Kingyali Pore Minimizing Serum","Kingyali Pore Minimizing Serum","Serum","1275","1955","৳25 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"68","","Black Out Body Cream","Black Out Body Cream","Body Cream","1800","194","৳100 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"69","","Body Massage Cream","বডি মাসাজ ক্রিম","Body Scrub/Pack","500","464","৳20 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"70","","Magical Whitening Body Pack","Magical Whitening Body Pack","Body Scrub/Pack","1350","60","৳300 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"71","","Face Massage Cream (Homemade & Random Flavours)","Face Massage Cream (Homemade & Random Flavours)","Scrubs/Exfoliators/Pack","600","1370","৳20 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"72","","Banana Cracked Heel Cream","Banana Cracked Heel Cream","Foot Care","650","14","৳100 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"73","","Vitamin E Soothing Gel","ভিটামিন ই সুথিং জেল","Soothing Gel","1100","0","৳150 off","","Disable","Edit info                                                                                                                                                                                                                         Delete"
"74","","Meiniya Spot Cream","স্পট ক্রিম","Night Cream","1200","0","৳10 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"75","","Pearl Whitening Cream","পার্ল ক্রিম","Night Cream","1650","0","No Discount","","Active","Edit info                                                                                                                                                                                                                         Delete"
